ConsumerReportCount,_c1,_c16,_c17
287,1,HPN,PIT
381,1,MCO,ROC
3635,1,ORD,SAN
451,1,PIT,SBN
1904,1,SFO,MSP
3155,1,DSM,ORD
636,1,HNL,ORD
3174,1,BNA,DFW
1223,1,LAS,HOU
558,1,ONT,ATL
10,1,SJC,SBP
34,1,ANC,DLG
798,1,ATL,MLI
405,1,ISP,ATL
653,1,OAK,ABQ
893,1,RDU,MDW
62,1,PWM,CLT
28,1,GRR,DEN
31,1,SLC,PIT
31,1,PIT,SLC
1,1,MFR,RDD
62,1,ROW,DFW
62,1,DTW,SGF
9,1,ADK,ANC
155,1,SMF,LGB
1,1,ATW,LEX
90,1,IPL,SAN
1,1,SGU,IDA
1,1,ABQ,GJT
434,1,ICT,PHX
92,1,MOB,PNS
250,1,MSY,SFO
1230,1,CVG,STL
476,1,RNO,MSP
2050,1,ALB,ORD
2228,1,FLL,ORD
891,1,PBI,DTW
1873,1,ROC,ATL
371,1,ORD,BOI
624,1,FAI,BRW
1626,1,ATL,BTR
3005,1,DCA,CLT
2255,1,DFW,COS
9509,1,LGA,DCA
406,1,MCI,DCA
341,1,DCA,SEA
273,1,BOS,LGB
769,1,GSP,IAD
547,1,VPS,DFW
93,1,JAX,HOU
433,1,RIC,IAH
694,1,MKE,CLE
336,1,JFK,RIC
62,1,MCI,MSY
475,1,DEN,ELP
27,1,MOB,ORD
62,1,TLH,FLL
30,1,MCO,TLH
1,1,PSC,PDX
35,1,AGS,IAH
3888,1,BUR,PHX
4722,1,SEA,PHX
3513,1,PHL,PIT
1661,1,MFR,SFO
930,1,OGG,SFO
598,1,IAD,SJU
341,1,CDV,YAK
772,1,IAH,MKE
248,1,ONT,ORD
788,1,CVG,PDX
1685,1,SJU,PHL
2163,1,JAN,DFW
1119,1,GSO,EWR
745,1,DTW,ABE
62,1,PVD,BGR
743,1,SEA,CVG
89,1,PWM,DCA
1488,1,BUF,JFK
551,1,IAD,CMH
411,1,ATL,OAK
239,1,DFW,GPT
172,1,LGA,TYS
221,1,IAD,SMF
16,1,ANC,IAH
787,1,IAH,LIT
201,1,OKC,EWR
51,1,EUG,LAS
4,1,DAB,ORD
1,1,BNA,COS
62,1,MSP,TVC
106,1,CLE,SAN
1538,1,IAH,SEA
3155,1,SFO,SLC
1608,1,STL,SLC
614,1,TUL,SLC
401,1,SJU,STT
341,1,ABQ,TPA
2366,1,DAL,LIT
561,1,GTF,MSP
1573,1,SMF,DFW
744,1,BWI,IND
4799,1,DAL,AUS
1526,1,CLE,BNA
460,1,SEA,BOS
1866,1,CVG,CLE
1077,1,IAH,CMH
939,1,PIT,CMH
1874,1,ELP,DAL
1743,1,MSY,DAL
93,1,PVD,DFW
90,1,LAX,ANC
79,1,SLC,OGG
279,1,TPA,SAT
149,1,IAH,MGM
271,1,CHS,IAH
808,1,EWR,ROC
31,1,ATL,TTN
53,1,FAT,LGB
58,1,SMF,GEG
562,1,DEN,FAT
157,1,MCO,SWF
58,1,BIL,GTF
2580,1,EWR,PHX
3092,1,ORD,ROC
2024,1,RNO,SEA
557,1,DTW,SRQ
24,1,MDT,MCO
1740,1,CLT,PBI
1156,1,ORD,PBI
1916,1,DFW,PDX
2303,1,SFO,IAD
1731,1,OKC,IAH
588,1,PBI,BDL
2023,1,OKC,DAL
683,1,PHX,TPA
2343,1,DFW,LBB
1170,1,BMI,ORD
310,1,MCO,SEA
247,1,EWR,STT
952,1,CVG,DAY
93,1,OAK,PHL
32,1,FAT,ONT
486,1,RDM,SFO
9,1,SFO,TWF
56,1,PHX,LIH
6,1,MEM,FAT
1,1,RNO,GJT
1,1,DCA,ORF
1,1,ABQ,PIH
23,1,JAN,CLT
1,1,CHS,FWA
1097,1,IAD,PIT
1899,1,MDW,SDF
372,1,BOI,ORD
1118,1,LGB,DFW
1020,1,SJU,FLL
1016,1,LGA,GSO
3676,1,LAX,IAD
576,1,ABQ,CVG
981,1,MIA,CVG
799,1,GSP,DFW
502,1,ORD,HSV
3,1,DTW,TUS
179,1,STT,BOS
517,1,IAD,LGB
786,1,BDL,FLL
31,1,DAY,MIA
179,1,DTW,CID
463,1,BWI,SAT
370,1,OAK,BOI
771,1,FAT,LAS
1,1,GEG,LGB
180,1,BWI,MKE
1,1,ATW,XNA
27,1,SHV,ORD
16,1,ORD,SRQ
61,1,ICT,MDW
5195,1,LAS,SAN
539,1,BOS,SJC
2489,1,ATL,SRQ
354,1,ICT,MEM
1205,1,CMH,MSP
1224,1,MFE,DFW
1428,1,BDL,DTW
2775,1,DCA,EWR
1462,1,TPA,IAD
1859,1,ATL,AUS
62,1,LAN,AZO
1328,1,SAT,DEN
5,1,EWR,GUC
252,1,ERI,CVG
93,1,CHA,DFW
217,1,LIT,LAS
339,1,MCI,SAN
785,1,IAH,SHV
807,1,ROC,EWR
31,1,OKC,ONT
31,1,EUG,LAX
58,1,MKE,MSN
80,1,MKE,CMH
33,1,YKM,SLC
796,1,LAX,COS
7,1,TWF,SUN
93,1,SFO,SAT
184,1,MEM,HSV
31,1,MDW,IAH
22,1,SCC,FAI
1,1,RDM,MRY
1,1,OMA,TWF
102,1,CAE,TPA
1724,1,DTW,PIT
2525,1,ATL,SFO
1992,1,RNO,SFO
825,1,CLE,TPA
31,1,SRQ,TPA
830,1,PSP,ORD
1652,1,CLE,PHL
561,1,DTW,HPN
1120,1,PHX,IND
469,1,TUS,ATL
682,1,LAS,BOI
3704,1,DFW,BOS
1505,1,SPS,DFW
1720,1,CAK,ATL
299,1,FNT,MCO
58,1,RIC,MCO
124,1,ROC,TPA
114,1,LEX,DCA
514,1,TUS,ABQ
616,1,AMA,IAH
31,1,SAT,TUS
1327,1,SUN,SLC
593,1,SFO,CIC
128,1,MRY,SLC
2,1,SLE,TWF
93,1,DSM,LGA
115,1,ORD,DAL
3,1,ACV,MFR
2786,1,PHL,RDU
277,1,SYR,ROC
9898,1,LAX,SAN
779,1,SLC,SAT
4382,1,LAX,SLC
1934,1,OMA,MDW
28,1,SRQ,PBI
849,1,MDT,DTW
1303,1,DTW,FNT
647,1,OME,ANC
1244,1,SHV,ATL
1322,1,CVG,BDL
525,1,EWR,CHS
900,1,ORD,COS
490,1,IAD,PVD
410,1,OAK,ATL
14,1,FAR,LAS
63,1,MHT,MSP
31,1,TPA,RIC
362,1,IAH,GSP
319,1,LEX,IAH
30,1,TUS,GEG
1407,1,ACV,SFO
62,1,DEN,TYS
184,1,GTF,DEN
62,1,DFW,MDT
22,1,BTV,MCO
12,1,RNO,HOU
66,1,BWI,SJC
770,1,CMH,PIT
504,1,BOS,RIC
919,1,LGA,RIC
364,1,PIT,SNA
31,1,FWA,TOL
1776,1,DTW,TPA
2151,1,LAS,MDW
3233,1,EWR,MSP
466,1,MEM,OMA
2027,1,SFO,PHL
2495,1,SFO,IAH
748,1,DEN,JAC
1290,1,JAX,BWI
455,1,EWR,DAB
102,1,GSO,DCA
2523,1,PDX,DEN
1114,1,ATL,GNV
31,1,TUS,SAT
97,1,DLH,DTW
65,1,CVG,TLH
1,1,IPL,PSP
902,1,OKC,SLC
365,1,LAS,MSY
1102,1,SFO,ONT
1178,1,SJU,DFW
1766,1,MSP,FSD
136,1,MCI,HOU
1200,1,MCO,ISP
2107,1,MKE,ATL
1083,1,DCA,BDL
703,1,TPA,BHM
700,1,AUS,BNA
249,1,PHL,DAY
2516,1,EWR,DEN
4480,1,MSP,DEN
921,1,CID,DFW
1062,1,OAK,LGB
472,1,BTV,BOS
367,1,HPN,IAD
885,1,ROA,ATL
93,1,PHL,OAK
1527,1,PHX,MDW
274,1,LAX,IPL
339,1,SLC,CDC
13,1,LAS,ROC
7,1,DTW,STT
332,1,BOS,HPN
4,1,CPR,PIH
246,1,VCT,IAH
1,1,DSM,BNA
1123,1,SFO,PSP
2888,1,ORD,SLC
4367,1,DFW,STL
4014,1,DFW,MCI
211,1,PBI,MCO
987,1,PVD,MDW
1070,1,DEN,MEM
2527,1,LAX,PHL
449,1,DTW,FWA
109,1,MSP,HPN
842,1,CVG,IND
371,1,BHM,JAN
400,1,SJU,BDL
560,1,SFO,BWI
586,1,MSP,CID
1524,1,IND,CLT
518,1,SRQ,CVG
891,1,CVG,CLT
1968,1,JFK,IAD
922,1,CSG,ATL
1,1,RNO,PIH
186,1,MEM,MOB
117,1,HSV,DTW
186,1,TUL,MEM
1,1,BHM,DCA
11603,1,LAX,PHX
