_c17,count
ORD,918353
ATL,915983
DFW,782272
LAX,581026
PHX,498128
DEN,455702
IAH,446482
LAS,416043
DTW,398471
MSP,373573
EWR,365788
SFO,349783
CLT,322630
BOS,321276
PHL,306793
SLC,304663
LGA,304314
STL,298200
CVG,288626
SEA,283716
MCO,280798
BWI,265422
DCA,230571
IAD,226007
SAN,224575
JFK,214888
MDW,202066
PIT,198516
CLE,184803
TPA,182672
OAK,177138
MIA,170159
SJC,169469
MCI,161605
BNA,155414
HOU,154864
PDX,151631
MEM,151013
FLL,150164
RDU,138082
DAL,130902
SMF,124895
SNA,124655
MSY,119726
AUS,119142
SAT,109206
IND,103740
ABQ,102534
CMH,100047
ONT,96850
HNL,89423
BDL,89226
BUR,78242
JAX,75252
RNO,73364
PVD,73307
PBI,62552
BUF,61503
ELP,59684
OKC,59413
MKE,59218
SDF,58770
TUL,58302
OMA,56887
SJU,55895
BHM,55855
TUS,55148
ORF,51821
ANC,51579
MHT,50039
RIC,48232
RSW,46678
LIT,41859
ROC,40802
ALB,40348
GSO,40300
BOI,38824
GEG,37538
DAY,35378
COS,35023
GRR,34590
SYR,32597
OGG,32405
DSM,29154
CHS,28629
JAN,28183
ISP,27705
TYS,26752
GSP,26659
SAV,26443
ICT,25880
MSN,23019
LGB,22828
FAT,22615
SBA,22414
PSP,22173
LBB,21910
XNA,21891
PWM,21554
HSV,21023
CAE,20967
MDT,20513
PNS,20122
HPN,20083
MAF,19679
BTR,19190
CID,18963
AMA,18636
LIH,18029
LEX,17607
SHV,17506
KOA,17414
SGF,16396
CRP,16340
BTV,14793
CAK,14175
GRB,13856
ABE,13783
FAI,13437
HRL,13146
SRQ,13048
MYR,12995
MRY,12617
FSD,12405
MOB,12095
VPS,11896
MLI,11634
FNT,11406
JNU,11242
GPT,10792
EUG,10572
BIL,10455
LAN,10168
FWA,10137
SBP,10071
MFE,9733
MFR,9426
FAR,9288
ITO,9287
TLH,9151
BZN,8699
MBS,8622
EVV,8526
PHF,8503
AZO,8421
PIA,8249
BGR,8226
CHA,8218
ILM,8044
RAP,8025
CRW,8003
MSO,7964
SBN,7960
GTF,7877
ROA,7704
AVL,7637
LFT,7516
RST,6805
DAB,6802
TOL,6665
TVC,6531
MGM,6471
BFL,6468
GJT,6454
KTN,6307
MLU,6097
STT,6092
LNK,6085
FCA,6041
SWF,5949
PSC,5941
BMI,5673
GRK,5671
ACV,5671
ATW,5592
MLB,5557
ABI,5390
AGS,5358
BIS,5277
CMI,5255
AVP,5226
JAC,5210
ACT,5137
TYR,5091
CLL,4948
PFN,4840
FSM,4830
TRI,4797
SGU,4742
CPR,4719
IDA,4604
RDM,4572
SUN,4427
LRD,4409
LAW,4310
SPS,4229
AEX,4139
LSE,4106
FAY,4073
SJT,4022
HLN,3963
DLH,3926
CLD,3526
YUM,3362
GNV,3265
SIT,3251
DRO,3248
BET,3067
EKO,3049
MOD,2920
TWF,2907
MOT,2892
MTJ,2874
ERI,2856
OME,2846
TXK,2843
SMX,2837
CHO,2828
RDD,2825
OTZ,2817
BRO,2772
PIH,2757
ILE,2654
DHN,2605
ASE,2602
CSG,2593
DBQ,2555
GFK,2540
OXR,2297
GGG,2287
BRW,2157
EYW,2137
BGM,2034
ABY,1986
WRG,1980
YAK,1980
PSG,1980
CDV,1979
ADQ,1887
BPT,1841
CIC,1831
LCH,1795
GTR,1767
VLD,1752
BQK,1737
STX,1712
MCN,1692
COD,1648
CWA,1645
ELM,1643
BTM,1585
CEC,1559
SCE,1515
IYK,1485
MQT,1479
MEI,1467
SCC,1432
BQN,1414
FLG,1391
LYH,1380
IPL,1372
EGE,1250
HDN,1238
SPI,1205
FLO,1194
HTS,1189
ITH,1139
PIE,1097
DUT,1023
CDC,876
ACY,854
PSE,728
LWS,718
AKN,699
OAJ,682
SUX,646
GUC,605
DLG,604
TUP,547
HVN,532
VCT,514
HHH,505
LWB,480
APF,473
PMD,435
ROW,433
EWN,424
WYS,423
ISO,421
EFD,415
RKS,388
GCC,362
RFD,352
VIS,344
OTH,282
LMT,278
BLI,269
HKY,268
SLE,225
ORH,215
YKM,178
ILG,175
CMX,170
ALO,157
RHI,153
ADK,150
PLN,118
SOP,114
ACK,92
MIB,89
INL,64
GST,59
BJI,46
TTN,31
LNY,30
MAZ,30
MKK,30
MKG,18
PVU,4
OGD,4
PIR,4
PUB,2
RCA,1
FMN,1
EAU,1
CYS,1
