ConsumerReportCount,_c3,_c16,_c17
188,1,ATL,MFE
226,1,MSP,LNK
52,1,SFO,LMT
52,1,SFO,OTH
2,1,CLT,CHO
1,1,FAR,GJT
1,1,GSP,RSW
4415,1,PHX,RNO
1383,1,CVG,SBN
1517,1,STL,SGF
693,1,SMF,STL
507,1,PIT,TOL
2274,1,CLE,MCO
2894,1,ORD,MSY
1827,1,ROC,DTW
3167,1,SAN,IAH
542,1,MSY,JAX
18,1,PIT,JAX
3826,1,MDW,LAS
1547,1,MEM,BNA
1716,1,RNO,BOI
6209,1,BWI,CLE
221,1,ORF,RIC
1615,1,IAD,FLL
3,1,TYS,SDF
4056,1,HOU,DFW
2366,1,LAX,MDW
310,1,DFW,MGM
1423,1,CAE,IAD
236,1,MKE,LAX
380,1,ACT,IAH
302,1,ISP,LAS
460,1,MFR,SLC
65,1,ATL,BOI
297,1,MDW,SAT
1277,1,STL,DAL
121,1,ABQ,IAD
102,1,MSP,IDA
73,1,LAW,ATL
1,1,TYR,TXK
1,1,BZN,GJT
1748,1,SFO,PSP
4910,1,ORD,SLC
7511,1,DFW,STL
6513,1,DFW,MCI
315,1,PBI,MCO
1819,1,PVD,MDW
1873,1,DEN,MEM
4415,1,LAX,PHL
690,1,DTW,FWA
165,1,MSP,HPN
1297,1,CVG,IND
551,1,BHM,JAN
657,1,SJU,BDL
1159,1,SFO,BWI
847,1,MSP,CID
2783,1,IND,CLT
767,1,SRQ,CVG
2921,1,JFK,IAD
1519,1,CSG,ATL
1537,1,CVG,CLT
4,1,LGA,AGS
18,1,PIE,LGA
41,1,BHM,DCA
204,1,HSV,DTW
315,1,TUL,MEM
314,1,MEM,MOB
2,1,RNO,PIH
69,1,AUS,FLL
2,1,SLC,GUC
1258,1,MDT,PIT
1167,1,IAD,ROC
6106,1,SNA,SFO
17,1,PSP,STL
1538,1,SAN,STL
2449,1,HOU,TUL
1145,1,AUS,LBB
3579,1,IAH,MCO
21,1,SJC,OAK
787,1,LGA,ORF
1705,1,BOI,PDX
2389,1,MSP,PDX
2489,1,SDF,DFW
9650,1,OGG,HNL
1696,1,GEG,BOI
7241,1,JFK,BOS
1713,1,PHX,CVG
1564,1,DFW,DAY
1925,1,CMH,DCA
3265,1,JFK,DCA
975,1,MSY,DCA
832,1,FLL,LAS
2089,1,ROC,JFK
421,1,LAS,BHM
540,1,DCA,HSV
1067,1,LGB,SLC
598,1,DEN,FLL
165,1,MKE,RDU
1,1,LWS,IDA
440,1,CVG,TUS
126,1,TUS,OAK
2474,1,PHL,PBI
4158,1,IAD,DFW
7517,1,STL,DFW
1170,1,AZO,DTW
1178,1,SLC,FAT
632,1,ORD,GEG
4391,1,DTW,GRR
1869,1,CVG,GSO
2090,1,SEA,JFK
2174,1,IAD,BDL
625,1,MSY,CLE
4308,1,TPA,CLT
1138,1,MSP,COS
18955,1,LAS,PHX
31,1,BDL,CMH
473,1,DEN,GUC
117,1,TPA,TLH
805,1,CAK,LGA
59,1,GUC,IAH
1079,1,CIC,SFO
133,1,BGR,ATL
109,1,RNO,MDW
208,1,MSP,ICT
15,1,SBA,SAN
2957,1,ATL,SAN
803,1,CVG,SRQ
3959,1,DEN,LGA
5553,1,DFW,MEM
1086,1,MSY,MSP
1438,1,IAH,ONT
8093,1,CLT,ORD
4439,1,SJC,DFW
513,1,MAF,ELP
2428,1,PDX,GEG
19898,1,SFO,LAX
4680,1,SFO,ATL
3599,1,DFW,CLE
4636,1,TUL,DAL
2972,1,MCO,DEN
1834,1,RNO,DEN
6132,1,LAX,SBA
474,1,GEG,LAS
892,1,CVG,EVV
1042,1,BUF,IAD
252,1,IND,PIE
114,1,IAH,OGG
687,1,ATL,AVP
770,1,CVG,ROC
19,1,FNT,FLL
126,1,MGM,CVG
78,1,CHS,TPA
366,1,JAX,BOS
67,1,DTW,RST
77,1,RST,DTW
70,1,MSP,RHI
1493,1,MSP,RDU
1838,1,DEN,RNO
1707,1,PHL,RSW
1387,1,PHL,SEA
1275,1,CVG,SYR
1168,1,TPA,LAX
13381,1,ATL,LGA
574,1,HOU,LIT
2030,1,ORD,MHT
2658,1,MSN,MSP
3415,1,MDW,OMA
1499,1,IAH,PBI
291,1,PSP,PDX
7458,1,MSP,DFW
4965,1,DCA,DTW
2063,1,BNA,EWR
3534,1,MSP,FAR
39,1,TOL,FWA
1541,1,LAS,IND
8903,1,SFO,LAS
4993,1,ORD,BNA
2280,1,MCO,DCA
11078,1,ONT,PHX
683,1,FLL,MSY
430,1,BUF,PHX
445,1,MSP,PVD
438,1,CVG,FNT
1211,1,JAX,IAD
1702,1,RDD,SFO
839,1,SLC,BUR
104,1,FLL,PHF
363,1,OAJ,ATL
265,1,DSM,MEM
64,1,PWM,MCO
18,1,LIT,DEN
1,1,MRY,SBA
8002,1,LAS,SLC
3038,1,FSD,MSP
5382,1,BNA,DTW
3036,1,LAX,DTW
1103,1,ANC,ADQ
1542,1,BNA,BHM
