_c17,count
ORD,965964
ATL,957258
DFW,824147
LAX,618580
PHX,516411
DEN,498662
IAH,477362
DTW,426367
LAS,421568
MSP,413353
EWR,390938
SFO,377249
BOS,342298
CLT,336415
SLC,327453
SEA,324045
STL,322070
PHL,320175
LGA,316624
CVG,307388
MCO,299345
BWI,275653
DCA,246052
SAN,237216
IAD,233337
JFK,230061
PIT,212406
MDW,209236
CLE,201754
TPA,188921
OAK,184288
MIA,181855
SJC,173766
MCI,169474
PDX,163439
HOU,160283
BNA,159641
MEM,159460
FLL,154634
RDU,141713
DAL,134347
SMF,132046
MSY,130510
SNA,126931
AUS,124172
SAT,113890
IND,110157
ABQ,108373
CMH,104655
ONT,102864
HNL,95492
BDL,93859
BUR,81447
JAX,78547
ANC,76397
RNO,75984
PVD,74920
SJU,69208
BUF,66173
ELP,62773
MKE,62665
PBI,62646
OKC,61562
SDF,61434
TUL,60814
OMA,59360
BHM,58271
TUS,56865
ORF,54839
MHT,51361
RIC,50309
RSW,45192
ROC,44217
LIT,44048
ALB,42765
GSO,42593
BOI,42237
GEG,40689
COS,39681
OGG,37023
GRR,35934
DAY,35454
SYR,34647
DSM,30528
CHS,29295
JAN,28740
SAV,28487
ISP,28425
GSP,28216
TYS,27891
ICT,26651
PWM,25747
FAT,25003
LGB,24645
MSN,23485
SBA,23277
XNA,22620
LBB,22503
MDT,22211
PNS,22102
HSV,21713
CAE,21611
HPN,20737
MAF,20182
CID,19811
LIH,19615
KOA,19440
BTR,19260
LEX,19009
AMA,18871
SHV,18381
FAI,18308
JNU,17769
CRP,17399
PSP,16978
SGF,16941
BTV,16537
MYR,15229
GRB,15002
CAK,14510
ABE,14427
HRL,13880
SRQ,13644
MRY,13487
MOB,13340
VPS,12469
FSD,12272
BIL,12211
MLI,12075
GPT,11697
EUG,11506
FNT,11504
FWA,11182
TLH,10904
BZN,10716
SBP,10705
TVC,10679
MFR,10537
MFE,10225
LAN,10042
FAR,10020
BGR,9768
RAP,9686
JAC,9521
MSO,9414
ITO,9378
MBS,9312
PHF,9164
AZO,8698
AVL,8697
EVV,8666
KTN,8617
CHA,8547
ILM,8544
ROA,8353
SBN,8221
TOL,7984
PIA,7833
CRW,7776
LFT,7733
DAB,7607
STT,7537
BFL,7488
FCA,7343
RST,7290
GTF,7130
GJT,6753
LNK,6706
SWF,6630
MGM,6579
PSC,6456
MLU,6441
ACV,6067
SUN,5898
BMI,5870
ATW,5863
MLB,5840
BIS,5781
AGS,5763
GRK,5715
AVP,5641
CMI,5558
ACT,5394
IDA,5329
ABI,5316
SIT,5127
PFN,5079
TYR,5076
RDM,5044
TRI,4992
CPR,4944
FSM,4894
CLL,4821
SGU,4746
LAW,4745
SPS,4629
HLN,4564
ASE,4475
LRD,4455
DLH,4389
AEX,4217
SJT,4112
LSE,4069
DRO,4046
FAY,4022
MTJ,3956
CLD,3672
YUM,3608
ILE,3489
GNV,3376
EKO,3231
MOD,3111
BET,3103
MOT,3023
RDD,3009
CHO,2974
OME,2973
SMX,2931
OTZ,2909
ERI,2888
BRO,2865
TWF,2864
PIH,2790
DHN,2728
TXK,2703
DBQ,2599
GFK,2597
CSG,2588
EYW,2540
GGG,2536
OXR,2405
BRW,2337
COD,2253
BGM,2171
EGE,2091
LCH,2054
BPT,2041
ELM,2028
PSG,2024
WRG,2024
YAK,2024
ADQ,2023
CDV,2017
ABY,1997
BQN,1929
MCN,1896
CIC,1859
STX,1858
GTR,1856
VLD,1838
BQK,1785
BTM,1729
AKN,1651
CWA,1638
ACK,1597
HDN,1590
CEC,1562
IYK,1541
MQT,1529
SCC,1526
FLG,1515
MEI,1510
SCE,1475
LYH,1449
IPL,1398
ITH,1383
PIE,1312
DLG,1310
FLO,1267
WYS,1194
SPI,1158
HTS,1121
DUT,1050
ACY,1015
GST,948
GUC,948
CDC,932
EFD,791
PSE,741
LWS,711
LWB,709
SUX,672
APF,630
HHH,622
OAJ,609
TUP,605
PLN,544
HVN,539
VCT,536
VIS,533
ISO,430
EWN,430
GCC,375
ORH,366
RFD,355
BLI,348
PMD,337
SLE,314
YKM,302
RKS,292
ILG,291
ROW,264
HKY,248
MKG,230
INL,226
TTN,226
ALO,177
RHI,170
ADK,159
BJI,156
SOP,146
OTH,110
LMT,110
CMX,107
LNY,76
MKK,76
RDR,46
PUB,10
MTH,7
OGD,6
CYS,6
EAU,4
PVU,3
FMN,1
LAR,1
SKA,1
BFF,1
