avg(CAST(_c15 AS DOUBLE)),_c9
7.255939892259711,1
10.490353761438815,10
8.804047285113203,100
13.616558908045977,1000
7.247367701353753,1001
6.9992020427705075,1002
5.59407814682951,1003
9.566450949299275,1004
8.12104777916373,1005
8.11774702597718,1006
8.201924110501988,1007
6.7006188174714305,1008
11.08820808060039,1009
9.253214000123023,101
11.096941244797213,1010
8.797522242418445,1011
10.496809189534142,1012
17.79270729270729,1013
12.29896907216495,1014
11.116464315539282,1015
11.59504662004662,1016
10.735873850197109,1017
10.361958124447066,1018
11.080541264969089,1019
6.970384298977553,102
9.648964979115986,1020
10.933630089026709,1021
7.902230277400191,1022
10.82226092111601,1023
10.722344708588958,1024
9.159674971853738,1025
7.442227162280928,1026
11.642696142175986,1027
10.14966281310212,1028
10.392384270781484,1029
8.769760729913417,103
7.979485887096774,1030
8.655445132421042,1031
8.339786511402233,1032
11.60627834912651,1033
8.95794849505596,1034
9.83410916392844,1035
11.486140851772543,1036
12.790596391431873,1037
8.287316991080944,1038
9.316970387243735,1039
7.859428754300344,104
10.018196276545982,1040
6.937496573277044,1041
7.6307504202965,1042
6.1695282066079935,1043
10.93401689422515,1044
6.139275622912921,1045
11.021637872628727,1046
7.549288953462774,1047
7.51450767502808,1048
9.104638124362895,1049
12.377454132778514,105
11.066953398660932,1050
10.83982683982684,1051
8.41112502846732,1052
7.703619047619048,1053
11.107103825136612,1054
8.14786205521778,1055
10.224330478152446,1056
13.486223309025807,1057
8.637755875663382,1058
6.828103085553997,1059
11.460510414445155,106
9.16261442481488,1060
9.52970251293422,1061
8.318018803915868,1062
8.962416578854935,1063
9.232295271049596,1064
8.685175798350306,1065
10.606621685234584,1066
9.460904960242333,1067
9.820708712613785,1068
13.164688572829819,1069
10.265541870126084,107
8.920437486596612,1070
8.966657645466848,1071
11.372426193376254,1072
9.027797759736924,1073
10.396554199569275,1074
11.170286042284511,1075
12.889355598811598,1076
10.290676117775355,1077
8.657806912991656,1078
10.407004204826912,1079
8.687954499289052,108
8.567665872319077,1080
9.21775504062594,1081
10.354742096505824,1082
8.723914813386468,1083
10.530866504703171,1084
10.772389578668838,1085
9.299304248895112,1086
11.217904654077879,1087
7.757079135969528,1088
